Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Data Classes
Postal Address Country,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies the country component of postal address.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Country,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,Country Name
Postal Address State,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies the state component of postal address.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> State,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,UK Province Code
,,,,,,,,,Canada Province Code
,,,,,,,,,State/Province Name
,,,,,,,,,ISO 3166-2 Code
,,,,,,,,,US State Code
Postal Code,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A code that is included in a postal address to assist the sorting of mail.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,Canada Post Code
,,,,,,,,,US Zip Code
,,,,,,,,,UK Post Code
,,,,,,,,,Ireland Eircode
Primary Account Holder,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The primary account holder associated with the customer account.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,
Product,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Product identifies goods and services that can be offered, sold, or purchased by the customers.",,,,,,
Product Description,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Provides a textual explanation or free form comments about the product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,
Product Identifier,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A unique number that identifies a product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,Universal Product Code (UPC)
,,,,,,,,,Identifier
Product Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The primary name assigned to the product that is used in reports and documents referring to the product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,
Product Offer,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Details of the offer of the product to a particular customer based on the industry. ,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,,
Product Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The merchandising category of the product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,
Product Warranty Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the product is under warranty from an organization.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,
,,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Properties Owned,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The number of properties owned by the customer.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Registered For Alerts Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates the registration of the customer for alerts. For example: an alert for payment due date.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Smart Meter Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the household has a smart meter installed.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Social Media Account,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A profile that pertains to the social media presence of a person or organization. A person or organization each can have more than one social media account.,,Sensitive Personal Information,,,,
Social Media Account Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The online name that is used for the social media account, which can be a pseudonym, such as a nickname or alias.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Social Media Account,
Social Security Number,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,An identification number issued to citizens and permanent residents by a governmental agency for the purposes of qualifying for Social Security benefits.,,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Canadian Social Insurance Number (SIN)
,,,,,,,,,UK National Insurance Number
,,,,,,,,,US Social Security Number
,,,,,,,,,US Social Security Number Last 4
State,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A geographic area that is a political subdivision of a country. This can be a state or Province.,,,,,,
State Code,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A code which identifies a state or province, for example: the state code for Florida is 'FL'.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> State,UK Province Code
,,,,,,,,,Canada Province Code
,,,,,,,,,ISO 3166-2 Code
,,,,,,,,,US State Code
State Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Identifies the label assigned to or by which a state may be identified, for example: Florida, Texas, Kentucky.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> State,Canada Province Name
,,,,,,,,,State/Province Name
,,,,,,,,,US State Name
Street,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The name of the street of the address.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,US Street Name
Tax,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A money provision element part that represents statutory local, regional or national charges applying to a payment or charge.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Billing,
Telephone Number,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The general-purpose telephone information that is needed to contact a wired or wireless telephone device.,,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,US Phone Number
,,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,
Thermostat Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the household has a thermostat installed.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Transaction,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies an activity that represents the recording of events on customer account.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,,
,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,,
Transaction Count,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The number of transactions performed by, or on behalf of, the organization.",,,,,,
Transaction Currency,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies a currency recorded on the transaction.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Transaction,Currency
Transaction Date,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date on which the transaction actually occurred.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Transaction,Date
Wind Energy Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a household has a wind energy generation unit.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Wind Zone Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a particular geographic area could be feasible for generating wind energy.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Social Class,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Classifies individuals based on their socio-economic status, for example: upper middle class, lower class. ",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
,,,,,Sensitive Personal Information,,,,
